# Manually updated from CBOE website. Future 2 years holidays file:
date,holiday_name,market,open_time,close_time,mic
2023-01-02,New Year's Day OBS,Dublin,,,XDUB
2023-01-02,New Year's Day OBS,London,,,XLON
2023-01-02,Berchtoldstag,Zurich,,,XSWX
2023-01-02,New Year's Holiday,Bucharest,,,XBSE
2023-01-02,New Year's Holiday,Ljubljana,,,XLJU
2023-01-02,New Year's Holiday,Valletta,,,XMAL
2023-01-02,New Year's Day OBS,Sofia,,,XBUL
2023-01-02,New Year's Day OBS,Johannesburg,,,XJSE
2023-01-05,Half day,Stockholm,08:00,11:55,XSTO
2023-01-06,Epiphany,Helsinki,,,XHEL
2023-01-06,Epiphany,Stockholm,,,XSTO
2023-01-06,Epiphany,Warsaw,,,XWAR
2023-01-06,Epiphany,Athens,,,XATH
2023-01-06,Epiphany,Bratislava,,,XBRA
2023-01-06,Epiphany,Nicosia,,,XCYS
2023-01-24,Anniversary of Romanian Principalities Union,Bucharest,,,XBSE
2023-02-08,Slovenian Culture Day,Ljubljana,,,XLJU
2023-02-10,Feast of St. Paul's Shipwreck,Valletta,,,XMAL
2023-02-16,Independence Day,Vilnius,,,XLIT
2023-02-24,Independence Day,Tallinn,,,XTAL
2023-02-27,Shrove Monday (Orthodox),Athens,,,XATH
2023-02-27,Shrove Monday (Orthodox),Nicosia,,,XCYS
2023-03-03,National Day,Sofia,,,XBUL
2023-03-15,Anniversary of 1848 Revolution,Budapest,,,XBUD
2023-03-21,Human Rights Day,Johannesburg,,,XJSE
2023-03-31,Freedom Day,Valletta,,,XMAL
2023-04-05,Half day,Oslo,08:00,12:00,XOSL
2023-04-06,Holy Thursday,Copenhagen,,,XCSE
2023-04-06,Holy Thursday,Oslo,,,XOSL
2023-04-06,Maundy Thursday,Reykjavik,,,XICE
2023-04-06,Half day,Stockholm,08:00,11:55,XSTO
2023-04-07,Good Friday,all,,,BATE
2023-04-07,Good Friday,Amsterdam,,,XAMS
2023-04-07,Good Friday,Brussels,,,XBRU
2023-04-07,Good Friday,Copenhagen,,,XCSE
2023-04-07,Good Friday,Frankfurt,,,XETR
2023-04-07,Good Friday,Madrid,,,XMCE
2023-04-07,Good Friday,Helsinki,,,XHEL
2023-04-07,Good Friday,Dublin,,,XDUB
2023-04-07,Good Friday,London,,,XLON
2023-04-07,Good Friday,Milan,,,MTAA
2023-04-07,Good Friday,Oslo,,,XOSL
2023-04-07,Good Friday,Paris,,,XPAR
2023-04-07,Good Friday,Reykjavik,,,XICE
2023-04-07,Good Friday,Stockholm,,,XSTO
