Date,Contract,Open,High,Low,Close,UnadjustedClose,CumulativeSpread,Volume,OpenInterest
1982-04-21,SPA1982M,116.3,117.6,116.0,117.4,117.4,1,0,0
1982-04-22,SPA1982M,117.0,118.4,117.0,117.9,117.9,1,0,0
1982-04-23,SPA1982M,118.4,119.7,118.2,119.6,119.6,1,0,0
1982-04-26,SPA1982M,119.3,120.6,118.6,120.5,120.5,1,0,0
1982-04-27,SPA1982M,120.2,120.3,118.4,118.8,118.8,1,0,0
1982-04-28,SPA1982M,118.5,119.3,117.7,118.1,118.1,1,0,0
1982-04-29,SPA1982M,117.5,118.1,117.2,117.6,117.6,1,0,0
1982-04-30,SPA1982M,117.5,118.4,117.4,117.5,117.5,1,0,0
1982-05-03,SPA1982M,117.1,117.5,116.8,117.1,117.1,1,0,0
1982-05-04,SPA1982M,117.2,118.0,117.2,117.8,117.8,1,0,0
1982-05-05,SPA1982M,117.8,118.3,117.0,117.5,117.5,1,0,0
1982-05-06,SPA1982M,118.0,119.2,118.0,119.1,119.1,1,0,0
1982-05-07,SPA1982M,119.1,120.1,119.0,119.6,119.6,1,0,0
1982-05-10,SPA1982M,119.2,119.4,118.4,118.5,118.5,1,0,0
1982-05-11,SPA1982M,118.4,119.9,118.3,119.7,119.7,1,0,0
1982-05-12,SPA1982M,119.8,120.3,119.0,119.5,119.5,1,0,0
1982-05-13,SPA1982M,119.5,119.7,118.1,118.3,118.3,1,0,0
1982-05-14,SPA1982M,118.5,118.7,118.1,118.3,118.3,1,0,0
1982-05-17,SPA1982M,118.1,118.1,116.5,116.6,116.6,1,0,0
1982-05-18,SPA1982M,116.6,116.7,115.7,116.0,116.0,1,0,0
1982-05-19,SPA1982M,115.9,116.3,114.4,114.6,114.6,1,0,0
1982-05-20,SPA1982M,114.8,115.2,114.1,114.9,114.9,1,0,0
1982-05-21,SPA1982M,115.2,115.6,114.7,114.9,114.9,1,0,0
1982-05-24,SPA1982M,114.8,115.1,114.1,115.0,115.0,1,0,0
1982-05-25,SPA1982M,115.2,115.6,113.4,113.7,113.7,1,0,0
1982-05-26,SPA1982M,114.0,114.1,112.0,112.5,112.5,1,0,0
1982-05-27,SPA1982M,112.4,112.6,111.2,111.8,111.8,1,0,0
1982-05-28,SPA1982M,111.7,112.5,110.7,111.0,111.0,1,0,0
1982-06-01,SPA1982M,110.7,111.2,109.9,110.0,110.0,1,0,0
1982-06-02,SPA1982M,110.3,111.7,109.8,111.5,111.5,1,0,0
1982-06-03,SPA1982M,111.6,112.0,109.7,110.5,110.5,1,0,0
1982-06-04,SPA1982M,110.4,110.4,108.0,108.1,108.1,1,0,0
1982-06-07,SPA1982M,108.1,109.8,107.4,109.0,109.0,1,0,0
1982-06-08,SPA1982M,108.8,109.9,107.9,108.5,108.5,1,0,0
1982-06-09,SPA1982M,108.5,109.1,107.6,108.6,108.6,1,0,0
1982-06-10,SPA1982M,108.5,109.8,108.2,109.1,109.1,1,0,0
1982-06-11,SPA1982M,110.2,111.7,110.1,111.4,111.4,1,0,0
1982-06-14,SPA1982M,110.0,110.4,108.8,108.9,108.9,1,0,0
1982-06-15,SPA1982M,109.0,110.0,108.3,109.9,109.9,1,0,0
1982-06-16,SPA1982U,109.4,110.2,107.7,108.1,108.1,1,0,0
1982-06-17,SPA1982U,105.5,106.9,105.1,105.5,105.5,1,0,0
1982-06-18,SPA1982U,105.8,106.1,104.3,104.6,104.6,1,0,0
1982-06-21,SPA1982U,105.2,107.4,104.7,106.5,106.5,1,0,0
1982-06-22,SPA1982U,106.5,109.5,106.1,109.4,109.4,1,0,0
1982-06-23,SPA1982U,108.8,112.1,108.1,111.8,111.8,1,0,0
1982-06-24,SPA1982U,112.1,112.6,109.7,110.2,110.2,1,0,0
1982-06-25,SPA1982U,110.0,110.8,108.8,110.3,110.3,1,0,0
1982-06-28,SPA1982U,110.0,112.3,109.6,112.2,112.2,1,0,0
1982-06-29,SPA1982U,111.8,112.4,111.1,112.2,112.2,1,0,0
1982-06-30,SPA1982U,113.3,113.4,111.0,111.5,111.5,1,0,0
1982-07-01,SPA1982U,111.5,111.7,109.7,109.8,109.8,1,0,0
1982-07-02,SPA1982U,109.5,109.5,107.8,108.3,108.3,1,0,0
1982-07-06,SPA1982U,108.4,109.5,106.4,109.4,109.4,1,0,0
1982-07-07,SPA1982U,108.8,110.0,107.7,109.3,109.3,1,0,0
1982-07-08,SPA1982U,109.5,111.0,106.8,110.8,110.8,1,0,0
1982-07-09,SPA1982U,111.5,113.0,110.2,112.7,112.7,1,0,0
1982-07-12,SPA1982U,112.9,113.3,111.7,112.2,112.2,1,0,0
1982-07-13,SPA1982U,110.7,112.9,110.7,111.8,111.8,1,0,0
1982-07-14,SPA1982U,111.5,113.6,110.5,113.5,113.5,1,0,0
1982-07-15,SPA1982U,113.7,114.3,112.8,113.5,113.5,1,0,0
1982-07-16,SPA1982U,113.5,115.1,113.1,114.1,114.1,1,0,0
1982-07-19,SPA1982U,114.3,114.5,112.3,112.4,112.4,1,0,0
1982-07-20,SPA1982U,113.0,114.3,111.8,114.2,114.2,1,0,0
1982-07-21,SPA1982U,114.1,114.9,113.0,113.1,113.1,1,0,0
1982-07-22,SPA1982U,113.1,114.5,112.7,113.5,113.5,1,0,0
1982-07-23,SPA1982U,113.4,113.9,112.4,112.6,112.6,1,0,0
1982-07-26,SPA1982U,111.8,112.7,111.1,111.2,111.2,1,0,0
1982-07-27,SPA1982U,111.3,112.0,110.2,110.6,110.6,1,0,0
1982-07-28,SPA1982U,110.5,110.7,108.2,108.2,108.2,1,0,0
1982-07-29,SPA1982U,108.7,109.1,106.5,108.3,108.3,1,0,0
1982-07-30,SPA1982U,108.8,108.8,106.7,107.3,107.3,1,0,0
1982-08-02,SPA1982U,108.6,110.0,107.8,110.0,110.0,1,0,0
1982-08-03,SPA1982U,109.4,109.7,106.9,107.2,107.2,1,0,0
1982-08-04,SPA1982U,107.0,107.6,104.8,105.1,105.1,1,0,0
1982-08-05,SPA1982U,104.7,105.7,103.8,105.4,105.4,1,0,0
1982-08-06,SPA1982U,104.8,105.5,102.4,102.6,102.6,1,0,0
1982-08-09,SPA1982U,101.9,103.9,101.1,103.8,103.8,1,0,0
1982-08-10,SPA1982U,103.8,104.5,101.8,102.0,102.0,1,0,0
1982-08-11,SPA1982U,102.0,103.5,101.7,102.6,102.6,1,0,0
1982-08-12,SPA1982U,103.0,104.0,102.0,102.3,102.3,1,0,0
1982-08-13,SPA1982U,102.5,105.0,102.4,104.8,104.8,1,0,0
1982-08-16,SPA1982U,105.6,106.4,103.2,103.3,103.3,1,0,0
1982-08-17,SPA1982U,103.9,108.3,103.7,108.3,108.3,1,0,0
1982-08-18,SPA1982U,109.7,111.5,107.4,108.1,108.1,1,0,0
1982-08-19,SPA1982U,108.2,110.4,107.0,109.2,109.2,1,0,0
1982-08-20,SPA1982U,110.1,114.2,109.3,114.2,114.2,1,0,0
1982-08-23,SPA1982U,112.9,117.1,112.4,116.5,116.5,1,0,0
1982-08-24,SPA1982U,116.0,117.3,114.3,115.0,115.0,1,0,0
1982-08-25,SPA1982U,115.0,118.0,114.8,117.1,117.1,1,0,0
1982-08-26,SPA1982U,117.6,119.4,116.3,118.0,118.0,1,0,0
1982-08-27,SPA1982U,116.4,117.4,115.1,115.9,115.9,1,0,0
1982-08-30,SPA1982U,115.7,118.0,114.9,118.0,118.0,1,0,0
1982-08-31,SPA1982U,117.8,119.8,117.2,118.8,118.8,1,0,0
1982-09-01,SPA1982U,119.1,119.6,116.7,117.0,117.0,1,0,0
1982-09-02,SPA1982U,117.5,121.5,116.6,120.9,120.9,1,0,0
1982-09-03,SPA1982U,121.6,125.5,121.4,123.1,123.1,1,0,0
1982-09-07,SPA1982U,123.4,123.4,120.9,121.7,121.7,1,0,0
1982-09-08,SPA1982U,121.4,124.4,121.2,122.6,122.6,1,0,0
1982-09-09,SPA1982U,122.0,123.9,120.7,120.9,120.9,1,0,0
